caller,callee,timestamp,duration_seconds,tower_location
7766554433,9210987654,2024-01-15T17:26:05,240,"Bandra West, Mumbai"
9432109876,9123456789,2025-10-25T04:31:59,308,"Camp Area, Pune"
7766554433,9432109876,2026-05-04T15:30:15,477,"Camp Area, Pune"
9988776655,9432109876,2024-07-14T19:32:47,149,"Bandra West, Mumbai"
7766554433,9432109876,2024-12-14T16:17:52,12,"Sector 17, Chandigarh"
7766554433,9321098765,2026-06-05T04:28:34,505,"Park Street, Kolkata"
9654321098,9210987654,2026-02-20T17:24:29,339,"Koramangala, Bengaluru"
8877665544,9432109876,2024-08-27T13:02:20,494,"T. Nagar, Chennai"
9543210987,9988776655,2025-05-22T01:08:32,349,"Bandra West, Mumbai"
9432109876,9123456789,2025-06-22T14:00:46,157,"T. Nagar, Chennai"
9988776655,9123456789,2025-04-25T08:21:39,417,"Bandra West, Mumbai"
9654321098,9210987654,2025-01-24T10:40:45,509,"Camp Area, Pune"
9876543210,9988776655,2024-08-28T20:43:58,304,"Koramangala, Bengaluru"
9123456789,9432109876,2024-04-10T20:45:55,112,"Hazratganj, Lucknow"
9988776655,9654321098,2026-07-14T00:02:20,67,"Sector 17, Chandigarh"
9654321098,9543210987,2025-03-17T04:15:33,431,"Ellis Bridge, Ahmedabad"
9988776655,8877665544,2024-06-28T02:39:55,401,"Ellis Bridge, Ahmedabad"
8877665544,9321098765,2026-07-23T18:09:14,482,"Sector 17, Chandigarh"
9432109876,7766554433,2025-11-13T00:57:51,486,"Sector 17, Chandigarh"
9321098765,9988776655,2024-03-16T14:22:37,316,"T. Nagar, Chennai"
7766554433,9321098765,2026-05-15T09:12:24,504,"Bandra West, Mumbai"
8877665544,9432109876,2025-08-08T11:36:18,312,"Lajpat Nagar, Delhi"
9543210987,7766554433,2024-01-09T18:55:43,60,"Ellis Bridge, Ahmedabad"
9432109876,7766554433,2026-03-05T07:38:51,370,"Koramangala, Bengaluru"
8877665544,9654321098,2025-11-25T23:49:42,150,"Bandra West, Mumbai"
9876543210,9654321098,2026-03-18T14:02:37,383,"Connaught Place, Delhi"
9123456789,9654321098,2024-11-30T23:26:11,215,"Connaught Place, Delhi"
9321098765,9654321098,2025-06-27T16:58:17,178,"Sector 17, Chandigarh"
9432109876,7766554433,2026-02-03T10:51:07,489,"Bandra West, Mumbai"
9988776655,7766554433,2026-05-30T21:46:43,416,"Camp Area, Pune"
9654321098,9123456789,2026-03-20T12:00:16,559,"Bandra West, Mumbai"
9432109876,9654321098,2025-11-19T23:43:16,400,"Park Street, Kolkata"
9123456789,7766554433,2025-04-27T00:39:56,584,"Park Street, Kolkata"
9210987654,8877665544,2025-10-25T02:40:52,485,"Sector 17, Chandigarh"
9543210987,9123456789,2024-05-23T01:02:19,514,"Bandra West, Mumbai"
9123456789,7766554433,2026-06-27T17:08:24,474,"Park Street, Kolkata"
9321098765,9543210987,2025-08-24T23:46:09,434,"Bandra West, Mumbai"
